0.txt	0	0	0.5754872	0	0	0	0.3908815	0.027374633	0	0
1.txt	0	0	0.64887387	0	0	0	0.24731216	0.101228826	0	0
10.txt	0	0	0.37176946	0	0	0	0.4236828	0.20346658	0	0
100.txt	0	0	0.42966697	0	0.10983194	0	0	0.45711297	0	0
1000.txt	0	0	0.15313187	0.06239147	0.31057715	0	0	0.46568513	0	0
1001.txt	0	0	0.47209722	0	0	0	0	0	0	0.5062671
1002.txt	0.3056208	0	0.021761682	0.6221524	0.017672231	0	0	0.023066794	0	0
1003.txt	0	0	0.37087074	0.14061165	0.17797942	0.16067818	0	0.10882304	0	0.039626613
1004.txt	0.28818804	0	0.10868021	0.4620122	0	0	0.052034155	0.08545324	0	0
1005.txt	0	0	0.5731	0	0	0	0	0	0	0.4068767
1006.txt	0	0	0.080929935	0.4421986	0.17632553	0	0	0.14461397	0.14833803	0
1007.txt	0	0.092059	0.06410594	0.08948694	0	0.71647406	0	0.01581571	0	0.02162337
1008.txt	0.31980887	0	0.07941401	0.4308523	0	0	0.041810162	0.12636833	0	0
1009.txt	0	0	0.11985343	0.1072232	0	0	0	0.75312626	0	0.013456062
101.txt	0	0	0.8414441	0	0.021237442	0	0	0.13162011	0	0
1010.txt	0	0	0.5644962	0	0	0	0	0	0	0.4168603
1011.txt	0	0	0.64370924	0	0	0	0.20019884	0	0.021851962	0.12264813
1012.txt	0	0	0.5500613	0	0	0.04755071	0	0	0	0.38481957
1013.txt	0	0	0.5368497	0	0	0	0	0	0	0.44401842
1014.txt	0.06044855	0	0.5527573	0	0	0	0	0	0	0.36970925
1015.txt	0	0	0.6540455	0.10088711	0	0	0.16305488	0.045158256	0	0.032603167
1016.txt	0	0	0.7715523	0.19031397	0	0	0	0	0	0
1017.txt	0	0	0.036407847	0.14864217	0	0.53522235	0.16720699	0.10400092	0	0
1018.txt	0.032830305	0	0.37817475	0	0	0	0	0	0	0.57093376
1019.txt	0	0	0.654577	0	0	0.08096182	0.04542759	0	0	0.21025106
102.txt	0	0	0.4593488	0	0.256938	0	0	0.2730214	0	0
1020.txt	0	0	0.36539486	0.21168554	0	0	0.07240929	0.2929085	0	0.056941543
1021.txt	0.2912342	0	0.10274073	0.46171945	0	0	0.021956144	0.122223504	0	0
1022.txt	0	0	0.5396414	0	0	0	0	0	0	0.43928763
